2.0842, 0.0348
2.0945, 0.0360
2.1048, 0.0388
2.1151, 0.0399
2.1254, 0.0412
2.1357, 0.0422
2.1460, 0.0436
2.1563, 0.0444
2.1666, 0.0457
2.1769, 0.0419
2.1872, 0.0395
2.1975, 0.0410
2.2078, 0.0418
2.2181, 0.0430
2.2284, 0.0442
2.2353, 0.0451
2.2679, 0.0724
2.2765, 0.0859
2.2842, 0.1019
2.2931, 0.1195
2.2990, 0.1374
2.3039, 0.1586
2.3108, 0.1778
2.3158, 0.1985
2.3196, 0.2186
2.3240, 0.2393
2.3280, 0.2634
2.3314, 0.2890
2.3348, 0.3160
2.3374, 0.3384
2.3400, 0.3639
2.3434, 0.3900
2.3469, 0.4202
2.3503, 0.4513
2.3529, 0.4787
2.3554, 0.5079
2.3563, 0.5276
2.3589, 0.5431
2.3597, 0.5597
2.3623, 0.5791
2.3649, 0.6048
2.3675, 0.6286
2.3692, 0.6470
2.3709, 0.6684
2.3726, 0.6863
2.3743, 0.7080
2.3778, 0.7318
2.3803, 0.7538
2.3827, 0.7792
2.3838, 0.7940
2.3866, 0.8114
2.3889, 0.8324
2.3923, 0.8493
2.3961, 0.8681
2.4026, 0.8905
2.4121, 0.8986
2.4207, 0.8863
2.4267, 0.8661
2.4327, 0.8426
2.4377, 0.8185
2.4413, 0.7988
2.4447, 0.7806
2.4481, 0.7640
2.4507, 0.7504
2.4538, 0.7311
2.4583, 0.7106
2.4619, 0.6900
2.4653, 0.6707
2.4689, 0.6527
2.4737, 0.6327
2.4773, 0.6143
2.4807, 0.5997
2.4859, 0.5803
2.4910, 0.5588
2.4970, 0.5434
2.5022, 0.5247
2.5099, 0.5074
2.5176, 0.4899
2.5262, 0.4733
2.5357, 0.4574
2.5460, 0.4410
2.5554, 0.4268
2.5640, 0.4105
2.5734, 0.3941
2.5820, 0.3783
2.5889, 0.3626
2.5957, 0.3448
2.6035, 0.3262
2.6112, 0.3082
2.6181, 0.2909
2.6249, 0.2738
2.6318, 0.2578
2.6395, 0.2409
2.6481, 0.2241
2.6575, 0.2072
2.6678, 0.1942
2.6773, 0.1806
2.6867, 0.1660
2.6970, 0.1552
2.7073, 0.1409
2.7176, 0.1289
2.7279, 0.1220
2.7382, 0.1123
2.7485, 0.1049
2.7588, 0.0968
2.7691, 0.0900
2.7794, 0.0843
2.7897, 0.0772
2.8000, 0.0713
2.8103, 0.0647
2.8206, 0.0593
2.8309, 0.0570
2.8412, 0.0521
2.8515, 0.0497
2.8618, 0.0455
2.8721, 0.0422
2.8824, 0.0383
2.8927, 0.0390
2.9030, 0.0384
2.9133, 0.0331
2.9236, 0.0327
2.9339, 0.0303
2.9442, 0.0262
2.9545, 0.0264
2.9648, 0.0261
2.9751, 0.0202
2.9854, 0.0203
2.9931, 0.0199
